"hack_license","medallion","vendor_id","pickup_datetime","dropoff_datetime","trip_distance","trip_time_in_secs","passenger_count"," fare_amount"
"D63D744718A0D8DD7900B21792E796E8","AB258F76A9F07DC3DFD6CEFF0CF87282","VTS","2013-05-20 00:02:00","2013-05-20 00:25:00",8.57,1380,1,27.5
"9A4E55C801ABBD63AF6F1AF74DFF9E82","4CBD86CD54C5914266B228C36E15313C","VTS","2013-05-20 00:02:00","2013-05-20 00:06:00",0.8,240,6,5
"9B59834C6EEE3750694AD036C710BAF9","F8EF6926188E6D7CE6DAF3FF3500E802","VTS","2013-05-20 00:02:00","2013-05-20 00:17:00",8.02,900,1,23
"F11CEC12A6545814CAC0A1B02766222F","BB1ECFED3574A6B308E4F6D69B1C417B","VTS","2013-05-20 00:02:00","2013-05-20 00:22:00",9.41,1200,1,27.5
"14D60517A465609CEE8C69A14A0D4AFA","A1F57C8D764D70CD18D2C0F2A98A6D0D","VTS","2013-05-20 00:02:00","2013-05-20 00:06:00",1.03,240,1,5.5
"856107C44289EA2EA53B878016C79BE0","E4B39B12C8E694B48BDC5F4DC1F6A134","VTS","2013-05-20 00:02:00","2013-05-20 00:08:00",1.94,360,1,8
"BC8CD0288502D12BA71184AD24EDA826","EB038F74ED275F6546A70B40F40A7B30","CMT","2013-05-20 00:02:01","2013-05-20 00:09:42",1.8,461,1,8
"8F7A2DCB5DFA3130C09B53E71F141AE6","7B19FC2B84B89DB5FC3D1029F1AE42C2","CMT","2013-05-20 00:02:01","2013-05-20 00:26:11",8.1,1450,2,27
"FE50F204024EE6736230101B9326C018","2EDDAA6087801D4DD15164BBED62E548","CMT","2013-05-20 00:02:01","2013-05-20 00:14:17",4.7,736,2,15
"C4F1D42B11F2B76323964A76E0547D37","D00253F99574A080973379FBF997D9D8","CMT","2013-05-20 00:02:02","2013-05-20 00:10:25",1.8,502,1,8.5
"CDFD0B67BFBE74276581CC7348B2639F","F18323158A93AE3C95A1607B08AC626D","CMT","2013-05-20 00:02:02","2013-05-20 00:07:29",1.7,326,1,7
"3D1A9EB4DC06E34B2D015576C97417F4","A00EDFCF1DD459755344024DD6AA1103","CMT","2013-05-20 00:02:02","2013-05-20 00:08:19",3.7,482,2,12.5
"8364A6A48D3A0A3FDD08F084C7C435FD","9A2DC9549479B98C2716B3C5C656B18F","CMT","2013-05-20 00:02:03","2013-05-20 00:04:34",0.3,151,1,4
"F993BE1A9D9D421E981294BB2B8B3FC8","3643AD0E8570F955BC530788BB707543","CMT","2013-05-20 00:02:03","2013-05-20 00:08:17",2.2,373,1,7
"1DE28A6459C0528EB2E577AC3736A6A9","681C43ECA5C62D5BC53BDF31BE8BA9F7","CMT","2013-05-20 00:02:03","2013-05-20 00:18:58",4.8,1014,1,17
"DEF48DF7AD8786EF9227FE33F1C18A36","D72C164FE66ADFFFE94472B10DA5F9E3","CMT","2013-05-20 00:02:03","2013-05-20 00:10:41",0,517,1,8.5
"B83D1A965A67FB70479F987662CDCAA6","109CFE085B9C30FE87253B46CCD7067E","CMT","2013-05-20 00:02:04","2013-05-20 00:07:31",1,326,1,6
"6EC8BE2F2CA151FAB416CCB242817038","CECFCD256DD02517B8D0BF64DAAEFDB8","CMT","2013-05-20 00:02:04","2013-05-20 00:07:57",1,354,1,6.5
"42F3CCEF589FCE5D0B121825A991800A","F9FC3E227266AF1C23218E402EB69B33","CMT","2013-05-20 00:02:05","2013-05-20 00:16:26",1.3,860,1,15
"AD01E7EA9918D77989C036CC98AF1B3B","2A4681196DB5419EB816DFE971E070A5","CMT","2013-05-20 00:02:05","2013-05-20 00:06:39",1.1,273,1,6
"D4459260E05F8D5FA8719D9A8BDB34AF","CCFD66253DC5FD46AA7B70B9AA5C44AC","CMT","2013-05-20 00:02:06","2013-05-20 00:12:38",2.3,629,1,10
